[h][+s][hw][+sw],top,eve-central.com
[h hw 0sw][-s 0sw][hw][0sw],top,facebook.com
[X][X][X][X],top,factor.cc
[h +sw][-s +sw][hw +sw][+sw],top,fastmail.fm
[h +sw][-s +sw][hw +sw][+sw],top,fatzebra.com.au
[h hw +s +sw][+s][hw][+sw],top,federalregister.gov
[h +sw][X][hw +sw][+sw],top,feralhosting.com
[h +s][+s][hw +s][+sw],top,filesfetcher.com
[X][-s][X][X],sub,fj.simple.com
[h +s][+s][hw +sw][+sw],top,flowdock.com
[h +s][+s][X][X],sub,forum.linode.com
[h][*s][X][X],sub,forum.quantifiedself.com
[h +s][+s][hw +s][-sw +s],top,founderscard.com
[h +s][+s][hw +s][+sw +s],top,foursquare.com
[h hw][-s +sw][hw][+sw],top,gandi.net
[h +s -sw *https://www.dropbox.com/][+s][hw *https://www.dropbox.com/][-sw],top,getdropbox.com
[h][*s][hw h][*sw],top,getfirebug.com
[h +s][+s][hw +s][-sw +s],top,github.com
[h +s][+s][hw +s][+sw +s],top,gks.gs
[h hw][*s][hw][*sw],top,gmu.edu
[h *s][*s][hw *s][*sw *s],top,gocardless.com
[h hw -sw][-s -sw][hw][-sw],top,google.com
[h][-s][hw *sw +https://login.corp.google.com/request?s=www.googleplex.com:443/uberproxy/&d=https://www.googleplex.com/%3Fupxsrf%3DAGxAqhbeUHr8h_ALCUJNa4zpWOQXFWBRUw:1380170805360&maxAge=1200&authLevel=2000000&rpMode=v2&keyIds=Do0][*sw],top,googleplex.com
[h +sw][-s +sw][hw +sw][+sw],top,gov.uk
[h hw +sw][X][hw +sw][+sw],top,graffletopia.com
[h +sw][+s +sw][hw +sw][+sw],top,grc.com
[h -https://www.cueup.com/fromGreplin +https://www.cueup.com/greplin][X][X][-sw],top,greplin.com
[h *s][*s][hw *s][*sw *s],top,grepular.com
[h +sw][-s +sw][hw +sw][+sw],top,hackerrank.com
[h +s][+s][hw +s][-sw +s],top,hackpad.com
[h +s][+s][hw +s][+sw +s],top,hasgeek.com
[X][*s][X][*sw],top,haste.ch
[h -s][-s][hw -s][*sw -s],top,headliner.fm
[h hw +sw][X][hw][+sw],top,heroku.com
[h +s][+s][hw +https://www.heroku.com/][-sw +https://www.heroku.com/],top,herokuapp.com
[h +s][+s][hw +s][+sw +s],top,heyo.com
[X][X][hw][+sw],top,host.sk
[h +s][+s][hw +sw][+sw],top,hotwords.com
[h *s][*s][hw *s][*sw],top,howrandom.org
[h hw -http://www.eprintcenter.com/ -http://h30495.www3.hp.com -https://h30495.www3.hp.com/ -https://h30495.www3.hp.com/c/46359/US/en/][X][X][X],top,hpconnected.com
[h hw][+s][hw][-sw],top,hu-berlin.de
[h +s][+s][hw +s][-sw +s],top,hubstaff.com
[h *sw][-s *sw][hw *sw][*sw],top,icloud.com
[X][+s][X][X],sub,id.mayfirst.org
[X][X][X][X],top,include_subdomains
[h *s][*s][hw *s][*sw *s],top,inertianetworks.com
[h hw +sw][X][hw][+sw],top,instacart.com
[h][*s h][hw h][*sw h],top,instinctmagazine.com
[h +s +sw][+s][hw +sw][+sw],top,intercom.io
