[h +s][X][+s][-sw +s],bugzilla.mozilla.org
[X][X][+s][X],business.medbank.com.mt
[h +s][X][+s][X],carezone.com
[h hw +sw][hw][X][+sw],carlolly.co.uk
[h +sw][hw +sw][+s][+sw],cert.se
[h][X][+s][X],check.torproject.org
[h +s][X][+s][X],cloudns.com.au
[h +https://meocloud.pt/][hw +https://meocloud.pt/][+s +https://meocloud.pt/][+sw +https://meocloud.pt/],cloudpt.pt
[h +s][hw -sw +s][+s][-sw],cloudsecurityalliance.org
[h +s][hw +s][+s][-sw +s],cloudup.com
[h +sw][hw +sw][-s +sw][+sw],codeur.com
[h +s][hw +s][+s][-sw +s],coinbase.com
[h +sw][hw +sw][-s +sw][+sw],commbank.com.au
[h hw][hw][-s +sw hw][+sw],computerbase.de
[h +sw][hw +sw][+s][+sw],conformal.com
[h +s][X][+s][X],controlcenter.gigahost.dk
[h +s][hw +s][+s][-sw +s],conyac.cc
[h +sw][X][-s +sw][+sw],cortalconsors.de
[h +s][hw +sw][+s][+sw],crate.io
[h +s][hw +s][+s][-sw +s],creativemarket.com
[h +s][X][+s][X],crm.onlime.ch
[h][hw][+s][+sw],crocko.com
[h -s +sw][hw +sw][-s][+sw],crowdcurity.com
[h +sw][hw +sw][+s +sw][+sw],crowdtilt.com
[h +s][hw +s][+s][+sw],crypto.cat
[h][hw -s][-s][-sw -s],crypto.is
[X][X][X][X],csawctf.poly.edu
[h +sw][hw +sw][X][+sw],cueup.com
[h hw +sw][hw][X][+sw],customerlobby.com
[h hw][hw][X][X],cyberoam.com
[h hw +sw -https://kintone.cybozu.com/us/][hw][X][+sw],cybozu.com
[h +sw][hw +sw][+s +sw][+sw],cyphertite.com
[h +sw][hw +sw][X][+sw],cyveillance.com
[h +s][hw +sw][+s][+sw],dashboard.io
[h +s hw +sw][hw][+s][+sw],desktimeapp.com
[h +s][hw +s][+s][X],developer.mydigipass.com
[h +sw][hw +sw][-s +sw][+sw],digitalocean.com
[h +s][X][+s][X],dist.torproject.org
[X][X][+s +https://www.lookout.com/][X],dm.lookout.com
[X][X][+s +https://www.lookout.com/][X],dm.mylookout.com
[X][X][X][X],do(base_url
[h +s][hw +sw][+s][+sw],do.com
[h +sw][hw +sw][X][+sw],docusign.net
[h +s][hw +s][+s][-sw +s],domai.nr
[h][X][+s][X],download.jitsi.org
[h +sw][hw +sw][-s +sw][+sw],doximity.com
[h +s +sw][hw +sw][+s][+sw],dropbox.com
[h +sw][hw +sw][-s +sw][+sw],dropcam.com
[h +s][hw +s][+s][-sw +s],duckduckgo.com
[h +s][hw +s][+s][-sw +s],ducksboard.com
[h][X][+s][X],ebanking.indovinabank.com.vn
[h +s][hw +sw][+s][+sw],editorially.com
[h hw +sw][hw][-s +sw][+sw],eff.org
[h -s][hw -sw][-s][-sw],elanex.biz
[X][X][X][X],emailprivacytester.com
[h hw +sw][hw][-s +sw][+sw],engineyard.com
[h +s][hw +sw +s][+s][+sw],entropia.de
[h +sw][hw +sw][-s +sw][+sw],epay.bg
[h +s][hw +s][+s][X],epoxate.com
[X][X][X][X],espra.com
[h hw][hw][-s hw][+sw hw],etsy.com
[h][hw][X][X],eve-central.com
[h hw +sw][hw][-s +sw][+sw],facebook.com
[X][X][X][X],factor.cc
[h +sw][hw +sw][-s +sw][+sw],fastmail.fm
[h +sw][hw +sw][-s +sw][+sw],fatzebra.com.au
[h hw +s +sw][hw][+s][+sw],federalregister.gov
[h +sw][hw +sw][X][+sw],feralhosting.com
[h +s][hw +s][+s][X],filesfetcher.com
[X][X][-s][X],fj.simple.com
[h +s][hw +sw][+s][+sw],flowdock.com
[h +s][X][+s][X],forum.linode.com
[h][X][+s][X],forum.quantifiedself.com
[h +s][hw +s][+s][-sw +s],founderscard.com
[h +s][hw +s][+s][+sw +s],foursquare.com
[h hw][hw][-s +sw][+sw],gandi.net
